name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-06-21T00:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,23.8,13,240,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T01:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,20.2,13,230,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T02:00:00,28.3,33,24.7,80.72,0,0,,0,0,15.1,8.5,265,1007.2,88.4,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T03:00:00,26.2,26.2,24.6,90.92,0,0,,0,0,14,2.9,201.9,1007,97,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-06-21T04:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,20.5,9.4,240,1006,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T05:00:00,28.1,32.6,24.7,81.65,0.024,100,rain,0,0,21.6,11.4,270,1007,63.4,19.8,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T06:00:00,28,32.8,25.1,83.85,0,0,,0,0,22,5.4,250,1007,30.2,10,0,0,0,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T07:00:00,29,33.7,24.1,74.57,0,0,,0,0,23.8,5.4,290,1008,30.2,10,5.9,0,0,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T08:00:00,29.6,35.5,24.9,75.94,0,0,,0,0,24.8,9.2,275,1007.9,80.8,19.9,55,0.2,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T09:00:00,30,36.3,25.1,74.69,0,0,,0,0,23,9.4,250,1008,30.7,10,172.1,0.6,2,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T10:00:00,31,37.9,25.1,70.58,0,0,,0,0,30.6,5.5,270,1008,30.2,10,346.9,1.2,3,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T11:00:00,30.9,38.2,25.5,73.03,0.002,100,rain,0,0,33.5,9.8,263,1007.9,89.6,19.8,380.1,1.4,4,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T12:00:00,31,37.9,25.1,70.53,0,0,,0,0,37.1,9.4,270,1007,50,10,495.2,1.8,5,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T13:00:00,31,37.9,25.1,70.53,0,0,,0,0,38.2,5.5,270,1006,50,10,806.6,2.9,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T14:00:00,30.8,37.4,24.9,70.8,0,0,,0,0,39.6,9,266,1006.4,86.3,19.9,752.4,2.7,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T15:00:00,31,37.9,25.1,70.53,0,0,,0,0,41.4,9.4,270,1005,50,10,673.2,2.4,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T16:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,40.7,9.4,250,1005,30.2,10,389.8,1.4,4,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T17:00:00,30.4,36.4,24.6,71.18,0,0,,0,0,36,5.3,248,1006,89.5,19.9,325.6,1.2,3,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T18:00:00,30.1,35.2,24.1,70.3,0,0,,0,0,36,13,250,1005,30,10,156.5,0.6,2,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T19:00:00,29.1,34.7,25,79.01,0,0,,0,0,28.4,3.7,240,1007,99.2,10,34.9,0.1,0,,Overcast,cloudy,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-06-21T20:00:00,29,34.1,24.6,77.28,0,0,,0,0,24.5,5.5,230,1007.4,97.1,19.9,0,0,0,,Overcast,cloudy,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-21T21:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,24.5,16.6,230,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T22:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,24.1,16.6,240,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-21T23:00:00,28.8,34,24.8,79.32,0,0,,0,0,22.7,10.8,244,1008,99.4,19.8,0,0,0,,Overcast,cloudy,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-06-22T00:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,21.6,14.8,240,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-06-22T01:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,14.4,16.6,240,1008,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
