name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2023-01-11T00:00:00,23.1,23.1,19.1,78.22,0,0,,0,0,19.8,13,40,1014,35.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T01:00:00,22.1,22.1,19.1,83.11,0,0,,0,0,24.1,13,30,1013,14.9,10,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T02:00:00,23.3,23.3,18.7,75.19,0,0,,0,0,25.6,9.4,6,1011.8,30,16.4,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T03:00:00,22.1,22.1,19.1,83.11,0,0,,0,0,27.4,14.8,30,1011,8.3,10,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T04:00:00,22.1,22.1,19.1,83.11,0,0,,0,0,27.4,13,30,1011,30.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T05:00:00,22.3,22.3,18.7,79.76,0,0,,0,0,26.6,9.4,20,1011.3,27.9,11.1,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T06:00:00,21.1,21.1,19.1,88.36,0,0,,0,0,25.2,13,30,1011,83.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T07:00:00,23,23,18.1,73.62,0,0,,0,0,23.4,9.4,20,1013,0.3,9,0,0,0,,Clear,clear-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T08:00:00,24.6,24.6,18.4,68.51,0,0,,0,0,23.8,11.1,23,1013.6,42.2,14.5,80.4,0.3,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T09:00:00,24.1,24.1,19.1,73.64,0,0,,0,0,27.7,16.6,30,1014,36.1,10,274.9,1,3,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T10:00:00,28,28.9,18.1,54.71,0,0,,0,0,29.5,13,360,1013,46.3,10,481.7,1.7,5,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T11:00:00,29.4,30.5,18.7,52.53,0,0,,0,0,30.2,12.1,10,1013,42.4,18.1,702.7,2.5,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T12:00:00,31,33.1,20,52.06,0,0,,0,0,29.9,9.4,360,1011,30,10,794,2.9,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T13:00:00,31,32.5,19,48.89,0,0,,0,0,29.5,13,341,1010,30,10,919.7,3.3,9,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T14:00:00,30.6,32.5,19.9,53.06,0,0,,0,0,28.8,14.1,338,1009.9,53.5,19.9,908.9,3.3,9,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T15:00:00,31,33.1,20,51.99,0,0,,0,0,28.1,13,321,1008,30,10,818.5,2.9,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T16:00:00,29.1,32.1,22,65.76,0,0,,0,0,27.4,16.5,321,1008,30,10,660.5,2.4,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T17:00:00,28.5,31.2,21.7,66.82,0,0,,0,0,26.6,11.9,342,1009.6,59.8,12.8,451,1.6,5,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T18:00:00,28.1,30.2,21,65.6,0,0,,0,0,24.5,12.9,340,1009,0,8,208.4,0.8,2,,Clear,clear-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T19:00:00,27,29.3,22.1,74.25,0,0,,0,0,18,12.9,340,1010,0.3,8,26.8,0.1,0,,Clear,clear-night,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2023-01-11T20:00:00,27,29.5,22.7,77.42,0,0,,0,0,17.6,10.2,348,1011.7,42.1,11.2,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-11T21:00:00,26.1,26.1,23.1,83.57,0,0,,0,0,17.6,11.2,10,1012,80,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T22:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,16.2,11.2,20,1012,71.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-11T23:00:00,25.1,25.1,20.3,74.79,0,0,,0,0,18,9.6,23,1011.9,33.3,11.2,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-12T00:00:00,24.1,24.1,20.1,78.36,0,0,,0,0,19.4,16.6,40,1012,51.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-12T01:00:00,24.1,24.1,20.1,78.36,0,0,,0,0,24.1,16.6,40,1012,13.4,10,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2023-01-12T02:00:00,23.6,23.6,19.7,78.54,0,0,,0,0,25.2,12.5,23,1010.8,30,11.2,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2023-01-12T03:00:00,22.1,22.1,20.1,88.44,0,0,,0,0,24.8,9.4,40,1011,11.8,10,0,0,0,,Clear,clear-night,43450099999
