name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-09-11T00:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,16.2,18.4,230,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T01:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,12.6,16.6,240,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T02:00:00,27,30.1,24.1,84.37,0,0,,0,0,18.4,5.1,231,1009.1,86.1,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T03:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,22.3,11.2,240,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T04:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,19.1,13,240,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T05:00:00,26.9,29.9,24.1,85.15,0,0,,0,0,20.9,7,231,1009.6,88.3,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T06:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,20.2,14.8,240,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T07:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,19.4,11.2,250,1010,50,10,6.6,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T08:00:00,28.6,33.4,24.5,78.76,0,0,,0,0,22,7,270,1010.9,44.6,19.9,110.5,0.4,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T09:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,26.6,14.8,240,1011,90,10,312.4,1.1,3,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T10:00:00,29.1,33.7,24.1,74.47,0,0,,0,0,31.3,16.6,240,1011,50,10,494.4,1.8,5,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T11:00:00,30.1,35.2,23.9,69.58,0,0,,0,0,33.8,8.3,245,1010.8,42.2,15.5,652.7,2.3,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T12:00:00,29.1,33.7,24.1,74.47,0,0,,0,0,36.7,18.4,240,1011,50,10,779.6,2.8,8,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T13:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,39.6,18.4,240,1010,50,10,750.3,2.7,8,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T14:00:00,30.5,36.3,24.4,69.74,0,0,,0,0,41,11,248,1008.6,97.3,11.1,748.6,2.7,7,,Overcast,cloudy,"43450099999,43467099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T15:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,41.8,18.4,250,1008,50,10,702.7,2.5,7,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T16:00:00,29.1,33.7,24.1,74.47,0,0,,0,0,42.1,22.3,240,1008,50,10,603.3,2.2,6,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T17:00:00,29.2,34.5,24.6,75.96,0,0,,0,0,36,5.3,248,1008.2,40.1,15.5,405.9,1.5,4,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T18:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,32.8,18.4,240,1008,50,10,198.2,0.7,2,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T19:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,25.6,16.6,240,1008,50,10,23.9,0.1,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T20:00:00,27.6,31.3,24.1,81.45,0,0,,0,0,19.8,5.3,248,1009.6,36.7,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-11T21:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,19.8,14.8,240,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T22:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,14.8,16.6,230,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-11T23:00:00,27.1,30.5,24.3,84.73,0,0,,0,0,14.4,3.4,231,1010.2,30.3,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T00:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,15.1,18.4,230,1010,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-12T01:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,14.8,14.8,230,1010,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-12T02:00:00,26.8,29.8,24.1,85.17,0,0,,0,0,13.7,0.8,235,1009.1,86,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T03:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,14.8,14.8,230,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-12T04:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,18,13,230,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-09-12T05:00:00,26.8,29.8,24.1,85.28,0,0,,0,0,13.3,7.4,231,1008.9,51.1,19.9,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T06:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,12.2,3.7,240,1009,30.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T07:00:00,28,32,24.1,79.09,0,0,,0,0,10.8,5.5,250,1010,50,10,8,0,0,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T08:00:00,28.2,32.4,24.2,79.34,0,0,,0,0,15.1,3.9,266,1010.1,48.8,19.9,139,0.5,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T09:00:00,29,33.7,24.1,74.52,0,0,,0,0,22.7,3.8,220,1010,30.2,10,382.2,1.4,4,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T10:00:00,29.1,33.7,24.1,74.47,0,0,,0,0,30.2,18.4,230,1010,50,10,568.3,2,6,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-09-12T11:00:00,30.4,35.8,24.1,69.01,0,0,,0,0,33.5,4.4,231,1009.8,44.4,19.9,722.5,2.6,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T12:00:00,31,36.7,24.1,66.44,0,0,,0,0,36.4,5.5,230,1008,50,10,875.5,3.2,9,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T13:00:00,31,36.7,24.1,66.44,0,0,,0,0,39.6,5.5,230,1008.5,49.8,10,856.9,3.1,9,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T14:00:00,31.2,37.4,24.6,68.1,0,0,,0,0,40,7.9,230,1008.1,77.3,19.9,815.8,2.9,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-09-12T15:00:00,31,36.7,24.1,66.48,0,0,,0,0,40,7.7,250,1007,50,10,767.5,2.8,8,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-09-12T16:00:00,30.1,35.2,24.1,70.35,0,0,,0,0,37.1,5.5,250,1007,50,10,649.2,2.3,6,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
