name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-10-22T00:00:00,25.1,25.1,25.1,100,0,0,,0,0,6.5,3.6,290.9,1013,30,9,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T01:00:00,25.1,25.1,25.1,100,0,0,,0,0,11.2,3.6,50,1012,30,9,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T02:00:00,24.9,24.9,24.2,96.01,3.389,100,rain,0,0,9,0.5,122,1011,99.2,6.5,0,0,0,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-10-22T03:00:00,25.1,25.1,25.1,100,0.2,100,rain,0,0,8.3,5.4,331.9,1011,30,9,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T04:00:00,25.1,25.1,25.1,100,0,0,,0,0,7.9,3.6,100,1011,30,7,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T05:00:00,26,26,24.6,92.24,0.918,100,rain,0,0,8.3,4.8,290,1011.2,88.3,6.7,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-10-22T06:00:00,25.1,25.1,25.1,100,3,100,rain,0,0,7.9,3.6,332.6,1011,30,9,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T07:00:00,25.1,25.1,25.1,100,0,0,,0,0,8.3,0,326.1,1011,50,7,7.2,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-10-22T08:00:00,25.9,25.9,24.9,94.42,0.285,100,rain,0,0,11.9,0.5,49,1013.1,90.7,5.6,73.6,0.3,1,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-10-22T09:00:00,28.1,32.8,25.1,83.79,0.1,100,rain,0,0,16.9,9.4,70,1013,50,10,213.3,0.8,2,,"Rain, Partially cloudy",rain,43450099999
