name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-12-01T00:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,13.3,7.6,50,1011,0,8,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T01:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,12.6,5.4,50,1010,0,8,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T02:00:00,25.5,25.5,22.7,84.18,0,0,,0,0,11.5,0.1,90,1009.3,12.1,7.3,0,0,0,,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T03:00:00,25.1,25.1,23.1,88.68,0,0,,0,0,10.8,3.6,138.6,1009,0,9,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T04:00:00,24.6,24.6,22.7,89.18,0,0,,0,0,10.8,5,126.6,1009,9.3,,0,0,0,,Clear,clear-night,remote
"University of Moratuwa, Sri lanka",2022-12-01T05:00:00,24.6,24.6,21.9,85.33,0,0,,0,0,10.1,0.3,91,1009.9,14.3,4.9,0,0,0,,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T06:00:00,24.1,24.1,23.1,94.15,0,0,,0,0,9.4,5.4,60,1010,0,8,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T07:00:00,24.1,24.1,23.1,94.15,0,0,,0,0,8.6,3.6,90,1010,0,6,6.2,0,0,,Clear,clear-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T08:00:00,28,31.2,22.8,73.5,0,0,,0,0,13.3,0.1,60,1011.7,10.1,4.9,139.5,0.5,1,,Clear,clear-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T09:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,14,7.6,70,1012,0,8,365.6,1.3,4,,Clear,clear-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T10:00:00,30.1,32.6,21.1,58.59,0,0,,0,0,14,7.6,20,1012,0,9,564.5,2,6,,Clear,clear-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T11:00:00,31.1,35.7,23.1,62.76,0,0,,0,0,14,5.4,228,1010.5,31.3,7.9,743.5,2.7,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T12:00:00,31.1,35.6,23.1,62.51,0,0,,0,0,14,9.4,206.2,1010,50,10,829.4,3,8,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T13:00:00,31.2,35.9,23.3,62.91,0,0,,0,0,17.3,3.2,224.3,1009,28.1,,789.8,2.8,8,,Partially cloudy,partly-cloudy-day,remote
"University of Moratuwa, Sri lanka",2022-12-01T14:00:00,31.5,36,22.9,60.25,0,0,,0,0,20.5,5,284,1007.5,79.8,11.1,713.8,2.6,7,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T15:00:00,31.1,35.6,23.1,62.51,0,0,,0,0,21.2,11.2,280,1007,50,10,647,2.3,6,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T16:00:00,31.1,35.6,23.1,62.51,0,0,,0,0,20.5,7.6,290,1007,50,10,306.8,1.1,3,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T17:00:00,29.1,33.4,23.5,72.01,0.001,100,rain,0,0,16.9,2.1,235,1008.1,89.6,11.1,156.8,0.6,2,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T18:00:00,27.5,30.9,23.9,80.77,0,0,,0,0,13.3,2.9,128.1,1008,90.4,,43.7,0.2,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-12-01T19:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,9.7,3.6,111.6,1008,50,10,2.8,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T20:00:00,28.6,32.8,23.8,75.39,0.002,100,rain,0,0,7.6,0.2,225,1009.6,80.8,15.4,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-01T21:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,7.2,1.8,40,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T22:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,6.8,1.8,89.9,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-01T23:00:00,26.9,30,24.3,86.09,0,0,,0,0,7.2,0,180,1009.8,54.4,11.1,0,0,0,,Partially cloudy,partly-cloudy-night,"43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T00:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,7.9,3.6,130,1010,50,9,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T01:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,8.6,5.4,110,1009,50,9,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T02:00:00,26.1,26.1,24.5,90.75,0,0,,0,0,7.9,0,67,1008.2,13.7,9.1,0,0,0,,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T03:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,6.5,5.4,50,1008,0,9,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T04:00:00,24.2,24.2,23.2,94.16,0,0,,0,0,6.1,1.4,30,1008,30.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-12-02T05:00:00,25.6,25.6,24.1,91.5,0,0,,0,0,4.7,0,60.6,1008.6,13.5,4.9,0,0,0,,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T06:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,7.6,3.6,50,1009,0,9,0,0,0,,Clear,clear-night,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T07:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,7.2,7.6,60,1010,0,7,4.2,0,0,,Clear,clear-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T08:00:00,27.4,30.7,23.9,81.43,0,0,,0,0,10.4,0.1,60,1010.8,79.5,4.9,98.1,0.4,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T09:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,12.2,5.4,50,1011,0,9,322.9,1.2,3,,Clear,clear-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T10:00:00,30.8,36.1,23.9,66.68,0,0,,0,0,13.7,5.4,241,1009.7,75.8,19.1,454.5,1.6,5,,Partially cloudy,partly-cloudy-day,"43450099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T11:00:00,28,32.7,25.2,84.78,2.624,100,rain,0,0,18.7,3.8,267,1010.1,88.4,7.6,545.7,2,5,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T12:00:00,32.1,38,24.1,62.73,0,0,,0,0,19.8,7.6,273.9,1009,50,10,680.7,2.5,7,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T13:00:00,31.1,36.7,24.1,66.39,0,0,,0,0,29.5,5.4,260.4,1008,50,10,594.7,2.1,6,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-12-02T14:00:00,28.7,34.6,25.7,83.71,4.374,100,rain,0,0,28.1,7.3,315,1006.8,97.2,5,408.2,1.5,4,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-12-02T15:00:00,31.1,36.7,24.1,66.39,0,0,,0,0,24.1,11.2,253,1006,50,10,284.7,1,3,,Partially cloudy,partly-cloudy-day,43450099999
