name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-05-11T00:00:00,30.1,39,27.1,84.01,0.3,100,rain,0,0,22.7,20.5,250,1006,90,10,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-05-11T01:00:00,30.1,39,27.1,84.01,0,0,,0,0,33.1,16.6,260,1005,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-11T02:00:00,29.4,36,25.7,80.91,0.096,100,rain,0,0,31.3,7.9,249,1005.2,86.3,11.1,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-11T03:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,30.2,22.3,250,1005,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-11T04:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,29.5,18.4,260,1004,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-11T05:00:00,29.4,35.6,25.4,79.33,0.004,100,rain,0,0,31,13.9,250,1005.5,90,11.1,0,0,0,,"Rain, Partially cloudy",rain,"43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-11T06:00:00,29.1,34.7,25.1,79.01,0,0,,0,0,31,18.4,250,1006,50.5,8,0,0,0,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-11T07:00:00,29.1,34.7,25.1,79.12,0,0,,0,0,28.8,9.5,250,1007,30.7,9,4,0,0,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-11T08:00:00,30.1,36.4,25.1,74.69,0,0,,0,0,29.5,14.8,250,1007,30.2,10,50.3,0.2,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-11T09:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,31.3,16.6,260,1007,50,10,166.5,0.6,2,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-05-11T10:00:00,28.2,33.5,25.6,85.82,0,0,,0,0,38.2,17.3,243.6,1008,100,,340.6,1.2,3,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-11T11:00:00,29.1,35.7,26,83.41,0,0,,0,0,43.2,19.1,242.8,1008,99.5,,657.5,2.4,7,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-11T12:00:00,30.1,38.3,26.6,81.58,0,0,,0,0,49,20.2,244.4,1008,100,,735.3,2.6,7,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-11T13:00:00,29.8,36.6,25.7,78.69,0,0,,0,0,41.4,20.9,244.6,1007,100,,880.8,3.2,9,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-11T14:00:00,31.7,39.6,25.7,70.59,0,0,,0,0,42.8,5.4,230,1005.9,80,20,841.5,3,8,,Partially cloudy,partly-cloudy-day,43466099999
"University of Moratuwa, Sri lanka",2022-05-11T15:00:00,29.6,36.6,26,81.03,0,0,,0,0,44.3,22.7,249.6,1006,74.5,,754.2,2.7,8,,Partially cloudy,partly-cloudy-day,remote
"University of Moratuwa, Sri lanka",2022-05-11T16:00:00,29.7,36.6,25.9,80.09,0,0,,0,0,44.3,23,252.3,1005,41.7,,502.5,1.8,5,,Partially cloudy,partly-cloudy-day,remote
"University of Moratuwa, Sri lanka",2022-05-11T17:00:00,30.7,38.7,26.2,76.98,0,0,,0,0,43.9,9.4,230,1006,80,20,375.4,1.4,4,,Partially cloudy,partly-cloudy-day,43466099999
"University of Moratuwa, Sri lanka",2022-05-11T18:00:00,28.7,34.8,25.9,84.86,0,0,,0,0,41,20.2,248.6,1005,40.3,,182.5,0.7,2,,Partially cloudy,partly-cloudy-day,remote
"University of Moratuwa, Sri lanka",2022-05-11T19:00:00,28,32.9,25.4,85.8,0,0,,0,0,34.6,16.9,241.4,1007,56.6,,31.5,0.1,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-05-11T20:00:00,29.7,36.9,26.1,81.05,0,0,,0,0,32.4,1.8,180,1007.9,80,20,0,0,0,,Partially cloudy,partly-cloudy-night,43466099999
"University of Moratuwa, Sri lanka",2022-05-11T21:00:00,27.3,31.6,25.8,91.54,0,0,,0,0,30.2,15.8,235.8,1008,40.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-05-11T22:00:00,27.6,32.5,26,91.01,0,0,,0,0,29.2,15.1,234.6,1009,58.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-05-11T23:00:00,29.1,35.9,26.2,84.4,0.3,100,rain,0,0,27,1.8,180,1008.4,60,20,0,0,0,,"Rain, Partially cloudy",rain,43466099999
"University of Moratuwa, Sri lanka",2022-05-12T00:00:00,27.6,32.5,26,91.01,0,0,,0,0,27.4,15.1,238.5,1009,90.5,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T01:00:00,27.1,30.9,25.3,89.91,0,0,,0,0,28.8,12.2,236.5,1009,83.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-05-12T02:00:00,26.9,30.4,25.2,90.43,0,0,,0,0,25.6,13,238.7,1008,94.8,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T03:00:00,26.5,26.5,25.1,92.03,0,0,,0,0,25.2,12.6,241.4,1008,92.7,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T04:00:00,25.6,25.6,24,90.89,0,0,,0,0,25.6,7.9,233.4,1007,95,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T05:00:00,25.7,25.7,23.9,89.81,0,0,,0,0,24.1,7.6,224.6,1007,100,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T06:00:00,26.9,30.1,24.6,87.25,0,0,,0,0,27,5.8,220.1,1007,99.9,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T07:00:00,26.8,29.8,24.5,87.24,0,0,,0,0,25.6,10.1,242.7,1008,97.7,,8.5,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-12T08:00:00,29.8,37.3,26.1,80.77,4.749,100,rain,0,0,22.7,8.9,226,1008.9,53.6,16.4,76.6,0.3,1,,"Rain, Partially cloudy",rain,"43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-12T09:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,27,11.2,250,1009,50,10,210.8,0.8,2,,Partially cloudy,partly-cloudy-day,43467099999
"University of Moratuwa, Sri lanka",2022-05-12T10:00:00,30.1,37.6,26.1,79.36,0,0,,0,0,32.8,11.2,230,1009,30.2,10,407.9,1.5,4,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-12T11:00:00,31.3,39.1,25.7,72.29,0.181,100,rain,0,0,37.4,11,231,1008.7,86.3,16.3,390.6,1.4,4,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-12T12:00:00,31.1,37.9,25.1,70.53,0,0,,0,0,37.1,13.1,230,1008,50,10,504.1,1.8,5,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-12T13:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,43.9,24.1,240,1008,50,10,578.9,2.1,6,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-05-12T14:00:00,30.6,37.8,25.5,74.07,0.136,100,rain,0,0,42.8,12.6,245,1007.1,89.6,16.2,606.8,2.2,6,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-12T15:00:00,29.1,35.8,26.1,83.79,0,0,,0,0,39.6,7.7,230,1006,50,10,422.9,1.5,4,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-12T16:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,34.6,27.7,230,1006,50,10,421.3,1.5,4,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-05-12T17:00:00,28.9,34.5,25.2,80.37,2.672,100,rain,0,0,38.2,8.1,231,1006.7,79.8,19.8,261.5,0.9,3,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-12T18:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,39.2,9.5,230,1006,50,9,166.2,0.6,2,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-12T19:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,33.1,14.8,230,1006,30,10,26,0.1,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-12T20:00:00,28.7,34.3,25.2,81.36,0.122,100,rain,0,0,28.8,14.1,225,1007.9,79.7,17.9,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-12T21:00:00,28.1,33.7,26.1,88.92,3,100,rain,0,0,30.2,22.3,250,1008,90,9,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-05-12T22:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,33.5,13,250,1008,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-12T23:00:00,28.2,33.2,25.2,83.82,1.882,100,rain,0,0,31,14.7,245,1008.4,91,17.9,0,0,0,,"Rain, Overcast",rain,"43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-13T00:00:00,26.4,26.4,25.6,95.37,0,0,,0,0,31.3,10.4,254.5,1009,65.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"University of Moratuwa, Sri lanka",2022-05-13T01:00:00,26.6,26.6,25.6,94.26,0,0,,0,0,32.4,7.6,255.4,1008,93.3,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-05-13T02:00:00,25.5,25.5,24.5,94.48,23.244,100,rain,0,0,31.3,12.9,231,1006.9,99.5,8.2,0,0,0,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-13T03:00:00,27.1,31.4,26.1,94.28,0.9,100,rain,0,0,30.6,13,240,1006,50,10,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-05-13T04:00:00,26.1,26.1,26.1,100,0,0,,0,0,31.3,9.4,250,1006,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-05-13T05:00:00,25.4,25.4,24.6,95.4,9.347,100,rain,0,0,34.2,5.4,231,1007.1,99.5,7.4,0,0,0,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-13T06:00:00,26.1,26.1,25.1,94.17,0.034,100,rain,0,0,36.4,7.6,290,1007,50.5,9,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-13T07:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,33.8,13,250,1007,50,10,9.5,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-05-13T08:00:00,26.3,26.3,25.3,94.52,3.681,100,rain,0,0,33.8,7.1,231,1009.3,99.5,10.8,115.6,0.4,1,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-05-13T09:00:00,26.1,26.1,25.1,94.11,0.141,100,rain,0,0,37.8,11.2,250,1009,89.5,9,249.7,0.9,2,,"Rain, Partially cloudy",rain,"43450099999,43467099999"
"University of Moratuwa, Sri lanka",2022-05-13T10:00:00,27,30.9,25.7,92.61,0,0,,0,0,40.7,15.1,248.3,1010,99,,324.1,1.2,3,,Overcast,cloudy,remote
