name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-04-01T00:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,9.7,9.4,140,1010,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T01:00:00,26.1,26.1,23.1,83.57,0,0,,0,0,10.8,3.6,147.6,1010,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T02:00:00,25.7,25.7,23.3,86.52,0,0,,0,0,11.9,0.1,170,1009.1,61.9,18.1,0,0,0,,Partially cloudy,partly-cloudy-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-04-01T03:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,13.7,5.4,110,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T04:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,14.8,7.6,130,1008,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T05:00:00,25.2,25.2,23,87.74,0,0,,0,0,15.5,0.1,130,1009.2,12.4,18.1,0,0,0,,Clear,clear-night,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-04-01T06:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,15.8,5.4,150.1,1009,28.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T07:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,14.8,3.6,153.3,1010,31.6,10,3,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-04-01T08:00:00,28.7,32.8,23.6,74.1,0,0,,0,0,18.7,2,139,1011.3,30.1,19.8,96.9,0.3,1,,Partially cloudy,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-04-01T09:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,23,9.4,150,1012,30,10,268.8,1,3,,Partially cloudy,partly-cloudy-day,43450099999
