name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"University of Moratuwa, Sri lanka",2022-08-01T00:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,11.5,11.2,250,1008,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T01:00:00,27.1,30.2,24.1,83.68,0,0,,0,0,17.6,13,250,1007,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T02:00:00,27.6,31.3,24.2,81.92,0.084,100,rain,0,0,16.9,20.5,248,1005.8,86.4,19.8,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T03:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,15.5,13,250,1006,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T04:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,16.2,13,250,1006,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T05:00:00,27.1,30.4,24,83.21,0.072,100,rain,0,0,18,24.6,265,1006.4,63.4,19.8,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T06:00:00,27.1,30.8,25.1,88.84,1,100,rain,0,0,22.3,11.2,260,1006,50,10,0,0,0,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T07:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,24.8,13,250,1006,50,10,2.4,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T08:00:00,27.8,31.4,23.7,78.5,0.006,100,rain,0,0,29.9,13.2,283,1007.4,89.7,19.8,30.7,0.1,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T09:00:00,27.1,30.2,24.1,83.68,0.2,100,rain,0,0,35.3,11.2,260,1007,90,10,113.7,0.4,1,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T10:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,41.8,14.8,260,1008,50,10,149.1,0.5,1,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T11:00:00,27,30,23.7,81.9,0.191,100,rain,0,0,60.1,17.9,266,1007.7,90.7,7.5,392.3,1.4,4,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T12:00:00,27.1,30.2,24.1,83.68,0.2,100,rain,0,0,57.6,18.4,260,1007,50,10,389.5,1.4,4,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T13:00:00,25.9,25.9,23.7,87.69,0,0,,0,0,67,29.9,265.2,1008,100,,182.7,0.7,2,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-08-01T14:00:00,27.5,30.4,22.8,75.73,0.149,100,rain,0,0,61.2,25.7,266,1007,99.5,9.3,180.9,0.7,2,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T15:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,52.6,14.8,270,1006,50,10,93.8,0.3,1,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T16:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,51.8,11.2,270,1006,50,10,162.7,0.6,2,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T17:00:00,27.5,30.3,22.7,75.16,0.024,100,rain,0,0,47.2,16.8,270,1006.6,99.5,7.5,76,0.3,1,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T18:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,46.4,7.6,250,1006,90,10,41.6,0.1,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T19:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,42.5,16.6,240,1006,50,10,11.4,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T20:00:00,26.6,26.6,23.8,84.3,0.811,100,rain,0,0,39.6,24.6,248,1008.7,89.7,7.6,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-01T21:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,38.5,14.8,250,1008,90,9,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-01T22:00:00,25.8,25.8,23.3,86.1,0,0,,0,0,33.1,15.5,261.3,1009,100,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-08-01T23:00:00,25.9,25.9,23.5,86.87,0.498,100,rain,0,0,31.3,2,266,1008.5,51.4,19.6,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T00:00:00,25.8,25.8,23.1,85.07,0,0,,0,0,29.5,14,259.7,1009,99.5,,0,0,0,,Overcast,cloudy,remote
"University of Moratuwa, Sri lanka",2022-08-02T01:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,31.3,16.6,240,1007,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T02:00:00,26.7,26.7,23.2,81.2,0.001,100,rain,0,0,31.3,16.9,270,1006.3,53.5,19.8,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T03:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,31.3,16.6,240,1006,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T04:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,40.3,16.6,250,1005,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T05:00:00,26.7,29.1,23.1,80.81,0.001,100,rain,0,0,42.5,13.7,248,1006,54.6,19.8,0,0,0,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T06:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,37.4,18.4,250,1005,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T07:00:00,27.1,29.7,23.1,78.79,0,0,,0,0,33.5,14.8,250,1006,50,10,3.4,0,0,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T08:00:00,27.6,31,23.6,79.09,5.775,100,rain,0,0,32,9.2,253,1007.1,90,7.4,71.1,0.3,1,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T09:00:00,28.1,32.1,24.1,78.93,0,0,,0,0,41,20.5,250,1007,50,10,220.9,0.8,2,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T10:00:00,29.1,32.9,23.1,70.12,0,0,,0,0,48.6,20.5,250,1007,50,10,465.4,1.7,5,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T11:00:00,28.7,32.8,23.6,73.8,0.056,100,rain,0,0,49.7,17.3,270,1007.1,86.7,19.8,482,1.7,5,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T12:00:00,29.1,32.9,23.1,70.12,0.2,100,rain,0,0,52.2,18.4,250,1007,90,10,773.3,2.8,8,,"Rain, Partially cloudy",rain,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T13:00:00,29.1,32.9,23.1,70.12,0,0,,0,0,59.8,20.5,250,1006,90,10,697.2,2.5,7,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T14:00:00,28.8,32.6,23.2,71.79,0.018,100,rain,0,0,60.1,17.4,266,1005.7,99.8,19.6,603.8,2.2,6,,"Rain, Overcast",rain,"43450099999,43467099999,43486099999,43466099999"
"University of Moratuwa, Sri lanka",2022-08-02T15:00:00,29.1,32.9,23.1,70.12,0,0,,0,0,59,18.4,250,1005,50,10,416.2,1.5,4,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T16:00:00,29.1,32.9,23.1,70.12,0,0,,0,0,57.6,20.5,250,1004,50,10,148.2,0.5,1,,Partially cloudy,partly-cloudy-day,43450099999
"University of Moratuwa, Sri lanka",2022-08-02T17:00:00,26.8,29,22.4,76.96,0.069,100,rain,0,0,48.2,9.7,248,1005.4,89.7,7.4,79.7,0.3,1,,"Rain, Partially cloudy",rain,"43450099999,43467099999,43486099999,43466099999"
